M,R,Lambda
0.271794663810708,15.5646043842969,2269146.88357436
0.313544239654981,14.948609540906,1200533.13475963
0.361131555540708,14.5108134975839,638908.622912607
0.414666482145607,14.2020608953615,343133.110884323
0.474256989096366,13.9858602569918,186215.11971517
0.540088000333334,13.8357198108945,102082.671402198
0.612369884157243,13.7326111407966,56482.4595904784
0.69114997908085,13.6625793562362,31543.2335865723
0.776429904477809,13.6149549829232,17773.9448337955
0.867980828189882,13.581344943564,10108.7990931063
0.965396979983133,13.5549405873929,5805.37277515583
1.06803390206334,13.5300686319526,3368.55028687979
1.07345873119951,12.8079052943305,2138.56140697964
1.07355613449444,12.7808073470233,2098.71260206465
1.07376782808315,12.7534141383386,2058.014986338
1.07409617937784,12.7257424910336,2016.54327515001
1.0745434760596,12.6978092518737,1974.37775802392
1.07511189837967,12.6696320021784,1931.59803180263
1.07580351994053,12.6412279973989,1888.28915536333
1.07662032623535,12.612615400118,1844.53171112612
1.07756418200758,12.5838123464523,1800.40331544675
1.07863684081938,12.5548368363154,1755.9971166776
1.07983994863205,12.5257077555558,1711.3876657835
1.08117503016428,12.496443391492,1666.65893775401
1.08649152385217,12.3998272965634,1520.23750743968
1.09327974845833,12.3026180654739,1376.07104734663
1.10156569424872,12.205462426542,1236.53831328044
1.11136077272326,12.1089810572492,1103.61219791721
1.12266193762995,12.0137550376022,978.823872325027
1.13545215746089,11.920313252913,863.231188570903
1.14970112914711,11.82912296883,757.45766327048
1.16536620548197,11.7405835776424,661.727328502747
1.18239351489942,11.6550222957922,575.933509344382
1.20071913026316,11.5726933594118,499.707781784363
1.22027037003583,11.4937801198705,432.494712629334
1.24096702343707,11.418397560962,373.615223800425
1.26272262092861,11.3465987578643,322.319466949901
1.28544562807055,11.2783798738761,277.836502481738
1.30904057905448,11.2136883824222,239.406983454918
1.3334091192632,11.1524293886484,206.305788226408
1.35845099989211,11.0944730227628,177.860216922185
1.3840649596142,11.0396615115502,153.455667442338
1.41014953523688,10.9878152664281,132.54185389724
1.43660381993253,10.9387387252484,114.630387453988
1.48897057929512,10.8500689936507,86.7257530287024
1.54164860662845,10.769588634519,66.0900299081598
1.59395758499508,10.6957160293796,50.7793709501796
1.64526894772574,10.6269463935814,39.3645790152607
1.69501441397957,10.5618965530192,30.8035683205281
1.74269206771321,10.4993323812779,24.3392868112127
1.78786996714403,10.4381797853782,19.4227691872431
1.83018763886135,10.3775278127937,15.6549504639776
1.8693556188853,10.3166238700484,12.7449848811836
1.90515332134823,10.2548650662994,10.4798911879399
1.93742546420293,10.1917866366892,8.7030526853743
1.96607747304722,10.1270496042761,7.29847127841524
1.99107002147415,10.0604271045396,6.17982809069171
2.01241309800668,9.99179164603676,5.28246712941718
2.03015982787574,9.9211014487875,4.5575759216546
2.04440027238926,9.84838927153669,3.96812328343152
2.05525538229397,9.77375022409562,3.48582486920837
2.06287125761765,9.69733194432932,3.08892997185992
2.06741385117848,9.61932482967529,2.76060180881634
2.06906409937239,9.53995336850384,2.48772288085782
2.06801359719062,9.45946849214032,2.26002280156197
