pressurec2,energy_densityc2,baryon_density
1.12318958841948E-12,7.81442512684964,7.91150480745398
1.12318958841948E-11,7.85419248653683,7.9616834848797
1.12318958841948E-10,8.10274464051984,8.21257687200826
1.34561242371549E-09,11.5327418523406,11.691631840191
1.5569000465312E-08,16.3049094390971,16.5589635504851
1.89053429947522E-07,44.8385159076523,45.4953341993125
6.47225475191379E-06,210.770770258537,212.423067768849
0.000211287763523,1143.33216942831,1159.12744853396
0.010836002232834,10379.4673153386,10529.1591464953
0.055247784998424,26067.9703674081,26444.1630033504
0.270343330373619,65488.0647960179,66436.5689116432
1.27999504904401,164440.969568417,166860.828666302
5.85914040447802,415587.903189758,419159.259513102
25.7908990838968,1043969.6124401,1052748.75473881
108.537627507944,2621923.68181796,2644416.55742304
435.151882299915,6587808.24401859,6643657.53705523
585.135195350359,8292758.61682546,8363113.71734042
1596.63244975806,16549518.2814978,16686084.4888376
4264.73322642694,33019038.8915443,33285192.5950149
11193.1166861088,65888082.1491173,66436575.3705523
28973.037624878,131496172.448155,132538626.192411
74279.5695789884,262392362.360425,264441655.742304
97222.1208779509,330390383.094071,332851925.950149
181248.380533511,523684756.738393,527712475.564181
337017.400022103,830075838.39706,836311371.734042
459407.343905996,1044969583.33325,1052748754.73881
560323.415817534,1315961695.37469,1325386261.92411
763268.195494099,1656951769.93607,1668608448.88376
1415272.8056392,2625923565.39053,2644416557.42304
2621370.0708223,4163878799.04272,4191592595.13102
4853317.59292312,6600807865.62943,6643657537.05523
6299744.20246004,8311758063.79516,8363113717.34042
8569521.34357951,10459695542.2639,10527487547.3881
11660423.7445746,13179616371.6097,13253862619.2411
15855060.9122316,16589517117.2235,16686084488.8376
21562882.840635,20899391666.6649,21008141657.9591
27849275.4128532,26309234198.5624,26444165574.2304
37874124.4527975,33129035689.7899,33285192595.0149
51492787.2995144,41718785661.8785,41915925951.3102
66190706.9241165,52538470725.6734,52771247556.4181
90001114.1888012,66168073999.197,66436575370.5523
122389943.883893,83317574816.58,83631137173.4042
166339060.096746,104896946690.581,105274875473.881
226198869.014505,132196152073.354,132538626192.411
288951531.151337,166395156618.806,166860844888.376
321774288.829291,184394632695.359,184824813153.223
366057195.79819,209593899202.534,210081416579.591
497682017.26605,263992315789.452,264441655742.304
647109012.389749,332490321969.669,332851925950.149
838704906.360717,418787810047.812,419159259513.102
868412283.648898,429887486961.687,430198569619.991
972354725.081928,669120523436.946,669049097387.234
1402811284.08012,1004270767982.37,1003573646080.85
2072618067.88106,1674851248923.31,1672622743468.08
7518859307.12896,6709804692981.9,6690490973872.34
19840522539.4326,13431609036681.5,13380981947744.7
36655788193.2261,20160413176633.1,20071472921617
56941365074.0546,26896217112836.7,26761963895489.3
80149836342.0013,33637020903506,33452454869361.7
105971889229.796,40382824548641,40142945843234
134239515723.561,47132628077348.5,46833436817106.4
164848128053.07,53887431460521.8,53523927790978.7
197771022957.837,60646234727267.7,60214418764851
232997074079.328,67408037906693,66904909738723.4
270548534134.614,74173840969690.8,73595400712595.7
310481034916.368,80943643916261.2,80285891686468.1
352827955500.195,87716446775511,86976382660340.4
397678306754.374,94493249518333.4,93666873634212.7
445087720471.581,101277052057408,100357364608085
495145207520.093,108056854712910,107047855581957
547928652409.656,114836657368411,113738346555830
603538192367.083,121626459732845,120428837529702
662062838260.654,128426261806209,127119328503574
723580474600.112,135216064170643,133809819477447
2914653609191.61,201778115384372,200714718857363
3752415899401.07,218868912047712,217440945428810
4724374787513.43,236029210569504,234167172000257
5841958012273.55,253263973710834,250893398571704
7098345655689.75,270578001057536,267619625143151
8475415632360.86,287974318754046,284345851714598
9987187179205.17,305455414161572,301072078286045
11653911120030.9,323024732411487,317798304857492
13485060490742.3,340686015684318,334524531428939
15491115049205.9,358443157279640,351250758000386
17681436312705.1,376300143388729,367976984571833
20065237480689.9,394261021812389,384703211143280
22651464189842.2,412329882437243,401429437714727
25448904416876.4,430510843886829,418155664286174
28466200109416.3,448808043835547,434881890857621
31711869876924,467225631692733,451608117429068
35194319833632.3,485767762921961,468334344000515
38921852799237.1,504438594544047,485060570571962
42902674992101.6,523242281528495,501786797143409
47144901552251.1,542182973870398,518513023714855
51656561153484.5,561264814207450,535239250286302
56445600010920.3,580491935869590,551965476857749
61519885433852.1,599868461279609,568691703429196
66887209032634.8,619398500641412,585417930000643
72555289649715.9,639086150865951,602144156572090
78531776063680.4,658935494694842,618870383143537
84824249501402,678950599989267,635596609714984
91440225984325.6,699135519157730,652322836286431
98387158528515.8,719494288700822,669049062857878
105672439214620,740030928854938,685775289429325
113303401139874,760749443319823,702501516000772
121287320263107,781653819057304,719227742572219
129631417151785,802748026150531,735953969143666
138342858638564,824036017714710,752680195715113
147428759394324,845521729851669,769406422286560
156896183423819,867209081641741,786132648858007
166752145489239,889101975167406,802858875429454
177003612466439,911204295563919,819585102000901
187657504638593,933519911092861,836311328572348
198720696930969,956052673235083,853037555143794
210200020090795,978806416800046,869763781715241
222102261815309,1.00178496004894E+015,886490008286688
234434167831347,1024992104829340,903216234858135
247202442929447,1048431636719450,919942461429582
260413751954621,1.07210732518031E+015,936668688001029
274074720756982,1.09602292371437E+015,953394914572476
288191937103789,1.12018217002941E+015,970121141143923
302771951555576,1144588786206430,986847367715370
317821278308256,1169246478870830,1003573594286820
333346396002480,1194158939365890,1.02029982085826E+015
349353748502951,1219329843927870,1037026047429711
365849745648349,1244762853862220,1053752274001160
382840763973953,1270461615720200,1070478500572605
400333147408206,1296429761475633,1.08720472714405E+015
418333207944125,1322670908701250,1103930953715500
436847226287780,1349188660744340,1120657180286950
455881452483808,1375986606901470,1137383406858390
475442106519602,1403068322591900,1154109633429840
495535378909701,1430437369529640,1170835860001290
516167431260186,1458097295893800,1187562086572730
537344396814843,1486051636497193,1204288313144180
559072380983792,1514303912953080,1221014539715630
581357461855053,1542857633839830,1237740766287070
604205690690252,1571716294863510,1254466992858520
627623092404407,1600883379018330,1271193219429970
651615666031899,1630362356744850,1287919446001415
676189385177512,1660156686085886,1304645672572860
701350198454016,1690269812840203,1321371899144310
727104029907636,1720705170713790,1338098125715756
753456779430046,1751466181468878,1354824352287203
780414323158958,1782556255070560,1371550578858650
807982513867547,1.81397878983114E+015,1388276805430097
836167181342532,1845737172552063,1.40500303200154E+015
864974132751552,1877834778663610,1421729258572991
894409153001003,1910274972362236,1438455485144438
924478005083521,1943061106745610,1455181711715885
955186430416843,1976196523945435,1471907938287330
986540149172324,2.00968455525799E+015,1488634164858780
1018544860596420,2043528521272450,1505360391430230
1051206243323140,2.07773173199706E+015,1522086618001670
1084529955677140,2112297486983100,1538812844573120
1118521635971540,2147229075446790,1555539071144570
1153186902796520,2182529776388999,1.57226529771601E+015
1188531355300644,2.21820285871301E+015,1.58899152428746E+015
1224560573466050,2254251581340170,1605717750858910
1261280118376917,2290679193323609,1622443977430354
1298695532480085,2327488933959930,1639170204001800
1336812339841200,2364684032899070,1655896430573250
1375636046393690,2402267710252160,1672622657144700
1415172140181740,2440243176697640,1689348883716142
1455426091598630,2478613633585490,1706075110287589
1496403353618316,2517382273039680,1722801336859040
1538109362022540,2556552278058870,1.73952756343048E+015
1580549535622653,2596126822615431,1.75625379000193E+015
1623729276476400,2636109071752750,1772980016573380
1667653970099280,2676502181680870,1789706243144824
1712328985672680,2717309299870542,1806432469716270
1757759676245960,2758533565145680,1823158696287718
1803951378934590,2800178107774282,1.83988492285916E+015
1850909415115050,2842246049557770,1856611149430612
1898639090614071,2884740503918905,1873337376002060
1947145695894780,2.92766457598824E+015,1890063602573510
1996434506238725,2971021362689064,1906789829144953
2046510781923820,3014813952821037,1.9235160557164E+015
2097379768400200,3059045427142390,1940242282287850
2149046696457710,3103718858450820,1956968508859290
2201516782406037,3148837311663014,1973694735430740
2254795228189963,3194403843892960,1990420962002190
2308887221737230,3240421504528920,2.00714718857363E+015
2363797936412230,3286893335309200,2023873415145080
2419532533819594,3333822370396690,2040599641716530
2476096153988720,3381211636452240,2057325868287970
2533493953024820,3429064152706860,2074052094859420
2591730962157850,3.47738293103276E+015,2.09077832143087E+015
